"destination_id","name","cost","type","lat","lng"
"D001","Banff Scenic Lookout","0","scenic","51.476","-115.946"
"D001","Banff Nature Trail","10","nature","51.486","-115.937"
"D001","Banff Valley Viewpoint","20","scenic","51.496","-115.928"
"D001","Banff Ridge Trail","30","hiking","51.506","-115.919"
"D002","Whistler Alpine Run","5","skiing","50.096","-122.975"
"D002","Whistler Snow Adventure Zone","15","skiing","50.106","-122.966"
"D002","Whistler Peak Lift Experience","25","skiing","50.116","-122.957"
"D002","Whistler Adventure Course","35","adventure","50.126","-122.948"
"D003","Old Historic Quarter","10","historic","46.794","-71.226"
"D003","Old Heritage Museum","20","museum","46.804","-71.217"
"D003","Old Founders Walk","30","historic","46.814","-71.208"
"D003","Old Cultural Centre","40","cultural","46.824","-71.199"
"D004","Algonquin Scenic Lookout","0","scenic","45.511","-78.372"
"D004","Algonquin Nature Trail","10","nature","45.521","-78.363"
"D004","Algonquin Valley Viewpoint","20","scenic","45.531","-78.354"
"D004","Algonquin Wildlife Sanctuary","30","wildlife","45.541","-78.345"
"D005","Vancouver Scenic Lookout","5","scenic","49.281","-123.166"
"D005","Vancouver Nature Trail","15","nature","49.291","-123.157"
"D005","Vancouver Valley Viewpoint","25","scenic","49.301","-123.148"
"D005","Vancouver City Square","35","urban","49.311","-123.139"
"D006","Cavendish Beachfront Boardwalk","10","beach","46.478","-63.414"
"D006","Cavendish Coastal Access Point","20","beach","46.488","-63.405"
"D006","Cavendish Sunset Shore","30","beach","46.498","-63.396"
"D006","Cavendish Scenic Lookout","40","scenic","46.508","-63.387"
"D007","Niagara Scenic Lookout","0","scenic","43.076","-79.089"
"D007","Niagara Nature Trail","10","nature","43.086","-79.08"
"D007","Niagara Valley Viewpoint","20","scenic","43.096","-79.071"
"D007","Niagara Photo Point","30","scenic","43.106","-79.062"
"D008","Churchill Wildlife Sanctuary","5","wildlife","58.747","-94.183"
"D008","Churchill Animal Viewing Point","15","wildlife","58.757","-94.174"
"D008","Churchill Eco Discovery Walk","25","nature","58.767","-94.165"
